value	HGNC ID
AFF1-AS1	HGNC:53447
AFF2	HGNC:3776
AFF2-IT1	HGNC:41334
AFF3	HGNC:6473
AFF4	HGNC:17869
AFF4-DT	HGNC:55235
AFF4P1	HGNC:56526
AFG1L	HGNC:16411
AFG3L1P	HGNC:314
AFG3L2	HGNC:315
AFG3L2P1	HGNC:24169
AFM	HGNC:316
AFMID	HGNC:20910
AFP	HGNC:317
AFTPH	HGNC:25951
AFTPH-DT	HGNC:52788
AGA	HGNC:318
AGA-DT	HGNC:27730
AGAP1	HGNC:16922
AGAP1-IT1	HGNC:41427
AGAP2	HGNC:16921
AGAP2-AS1	HGNC:48633
AGAP3	HGNC:16923
AGAP4	HGNC:23459
AGAP5	HGNC:23467
AGAP6	HGNC:23466
AGAP7P	HGNC:23465
AGAP9	HGNC:23463
AGAP10P	HGNC:23659
AGAP11	HGNC:29421
AGAP12P	HGNC:23661
AGAP13P	HGNC:23499
AGAP14P	HGNC:23660
AGBL1	HGNC:26504
AGBL1-AS1	HGNC:48617
AGBL2	HGNC:26296
AGBL3	HGNC:27981
AGBL4	HGNC:25892
AGBL4-AS1	HGNC:41123
AGBL4-IT1	HGNC:41482
AGBL5	HGNC:26147
AGBL5-AS1	HGNC:41133
AGBL5-IT1	HGNC:41484
AGER	HGNC:320
AGFG1	HGNC:5175
AGFG2	HGNC:5177
AGGF1	HGNC:24684
AGGF1P1	HGNC:38051
AGGF1P2	HGNC:38052
AGGF1P3	HGNC:38053
AGGF1P4	HGNC:38054
AGGF1P5	HGNC:51741
AGGF1P6	HGNC:51744
AGGF1P7	HGNC:51740
AGGF1P8	HGNC:51745
AGGF1P9	HGNC:51746
AGGF1P10	HGNC:51747
AGK	HGNC:21869
AGK-DT	HGNC:55356
AGKP1	HGNC:37661
AGKP2	HGNC:55132
AGL	HGNC:321
AGMAT	HGNC:18407
AGMO	HGNC:33784
AGO1	HGNC:3262
AGO2	HGNC:3263
AGO3	HGNC:18421
AGO4	HGNC:18424
AGPAT1	HGNC:324
AGPAT2	HGNC:325
AGPAT3	HGNC:326
AGPAT4	HGNC:20885
AGPAT4-IT1	HGNC:20988
AGPAT5	HGNC:20886
AGPAT5P1	HGNC:37709
AGPS	HGNC:327
AGR2	HGNC:328
AGR3	HGNC:24167
AGRN	HGNC:329
AGRP	HGNC:330
AGT	HGNC:333
AGTPBP1	HGNC:17258
AGTR1	HGNC:336
AGTR2	HGNC:338
AGTRAP	HGNC:13539
AGXT	HGNC:341
AGXT2	HGNC:14412
AHCTF1	HGNC:24618
AHCTF1P1	HGNC:24620
AHCY	HGNC:343
AHCYL1	HGNC:344
AHCYL2	HGNC:22204
AHCYP1	HGNC:44993
AHCYP2	HGNC:44994
AHCYP3	HGNC:44995
AHCYP4	HGNC:44996
AHCYP5	HGNC:44997
AHCYP6	HGNC:44998
AHCYP7	HGNC:44999
AHCYP8	HGNC:45000
AHDC1	HGNC:25230
AHI1	HGNC:21575
AHI1-DT	HGNC:32526
AHNAK	HGNC:347
